"music_id","seq","line1","line2","line3","line4","line5","line6"
"14","2","12,1/_,_/_,_/_,_/_,_/_,_/12,1/_,_/_,_/14,1/_,_/_,_/_,_/_,_/_,_/14,1/_,_/_,_/10,1/_,_/_,_/_,_/_,_/_,_/10,1/_,_/_,_/10,1/_,_/_,_/_,_/_,_/_,_/10,1/_,_/_,_/9,1/_,_/_,_/_,_/_,_/_,_/9,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/0,1/_,_/0,1/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/12,1/_,_/12,1/_,_/_,_/_,_/_,_/_,_/_,_/12,1/_,_/12,1/_,_/_,_/_,_/_,_/_,_/_,_/11,1/_,_/11,1/_,_/_,_/_,_/_,_/_,_/_,_/11,1/_,_/11,1/_,_/_,_/_,_/_,_/_,_/_,_/10,1/_,_/10,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/11,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/11,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/12,1/_,_/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/0,1/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/12,1/_,_/_,_/_,_/12,1/_,_/12,1/_,_/_,_/13,1/_,_/_,_/_,_/13,1/_,_/13,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/11,1/_,_/_,_/_,_/11,1/_,_/11,1/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/"
"14","3","9,1/_,_/_,_/_,_/_,_/_,_/9,1/_,_/_,_/9,1/_,_/_,_/_,_/_,_/_,_/9,1/_,_/_,_/10,1/_,_/_,_/_,_/_,_/_,_/10,1/_,_/_,_/9,1/_,_/_,_/_,_/_,_/_,_/9,1/_,_/_,_/9,1/_,_/_,_/_,_/_,_/_,_/9,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/7,1/_,_/7,1/_,_/_,_/_,_/_,_/_,_/_,_/8,1/_,_/8,1/_,_/_,_/_,_/_,_/_,_/_,_/9,1/_,_/9,1/_,_/_,_/_,_/_,_/_,_/_,_/9,1/_,_/9,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/10,1/_,_/10,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/10,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/8,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/9,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/9,1/_,_/_,_/_,_/_,_/_,_/_,_/9,1/_,_/_,_/_,_/9,1/_,_/9,1/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/10,1/_,_/_,_/_,_/10,1/_,_/10,1/_,_/_,_/9,1/_,_/_,_/_,_/9,1/_,_/9,1/_,_/_,_/7,1/_,_/_,_/_,_/7,1/_,_/7,1/_,_/_,_/8,1/_,_/_,_/_,_/8,1/_,_/8,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/"
"14","4","14,1/_,_/_,_/_,_/_,_/_,_/14,1/_,_/_,_/14,1/_,_/_,_/_,_/_,_/_,_/14,1/_,_/_,_/14,1/_,_/_,_/_,_/_,_/_,_/14,1/_,_/_,_/12,1/_,_/_,_/_,_/_,_/_,_/12,1/_,_/_,_/15,1/_,_/_,_/_,_/_,_/_,_/15,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/11,1/_,_/11,1/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/0,1/_,_/0,1/_,_/_,_/0,1/_,_/_,_/_,_/0,1/_,_/0,1/_,_/_,_/0,1/_,_/_,_/_,_/0,1/_,_/0,1/_,_/_,_/0,1/_,_/_,_/_,_/0,1/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/11,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/11,1/_,_/11,1/_,_/_,_/_,_/_,_/_,_/_,_/11,1/_,_/11,1/_,_/_,_/_,_/_,_/_,_/_,_/12,1/_,_/12,1/_,_/_,_/_,_/_,_/_,_/_,_/12,1/_,_/12,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/12,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/12,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/11,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/11,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/13,1/_,_/_,_/_,_/13,1/_,_/13,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/"
"14","5","14,1/_,_/_,_/_,_/_,_/_,_/14,1/_,_/_,_/14,1/_,_/_,_/_,_/_,_/_,_/14,1/_,_/_,_/14,1/_,_/_,_/_,_/_,_/_,_/12,1/_,_/_,_/10,1/_,_/_,_/_,_/_,_/_,_/10,1/_,_/10,1/_,_/_,_/_,_/_,_/_,_/9,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/0,1/_,_/_,_/_,_/0,1/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/11,1/_,_/11,1/_,_/_,_/_,_/_,_/_,_/_,_/11,1/_,_/11,1/_,_/_,_/_,_/_,_/_,_/_,_/11,1/_,_/11,1/_,_/_,_/_,_/_,_/_,_/_,_/9,1/_,_/9,1/_,_/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/12,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/11,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/8,1/_,_/_,_/_,_/_,_/_,_/_,_/8,1/_,_/8,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/12,1/_,_/_,_/_,_/12,1/_,_/12,1/_,_/_,_/10,1/_,_/_,_/_,_/10,1/_,_/10,1/_,_/_,_/10,1/_,_/_,_/_,_/10,1/_,_/_,_/_,_/7,1/_,_/_,_/_,_/7,1/_,_/7,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/"
"14","6","7,1/_,_/_,_/_,_/_,_/_,_/7,1/_,_/_,_/7,1/_,_/_,_/_,_/_,_/_,_/7,1/_,_/_,_/3,1/_,_/_,_/_,_/_,_/_,_/3,1/_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/7,1/_,_/_,_/_,_/_,_/_,_/7,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/0,1/_,_/0,1/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/0,1/_,_/0,1/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/4,1/_,_/4,1/_,_/_,_/_,_/_,_/_,_/_,_/5,1/_,_/5,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/12,1/_,_/12,1/_,_/_,_/_,_/_,_/_,_/_,_/7,1/_,_/7,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/4,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/4,1/_,_/_,_/_,_/_,_/_,_/_,_/2,1/_,_/_,_/_,_/2,1/_,_/2,1/_,_/_,_/_,_/_,_/12,1/_,_/_,_/_,_/_,_/_,_/_,_/5,1/_,_/_,_/_,_/5,1/_,_/5,1/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/5,1/_,_/_,_/_,_/5,1/_,_/5,1/_,_/_,_/6,1/_,_/_,_/_,_/6,1/_,_/6,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/"
"14","7","0,1/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/7,1/_,_/_,_/_,_/_,_/_,_/7,1/_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/0,1/_,_/_,_/_,_/0,1/_,_/0,1/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/7,1/_,_/_,_/_,_/_,_/_,_/7,1/_,_/_,_/7,1/_,_/_,_/_,_/_,_/_,_/7,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/12,1/_,_/12,1/_,_/_,_/_,_/_,_/_,_/_,_/7,1/_,_/7,1/_,_/_,_/_,_/_,_/_,_/_,_/6,1/_,_/6,1/_,_/_,_/_,_/_,_/_,_/_,_/4,1/_,_/4,1/_,_/_,_/_,_/_,_/_,_/_,_/4,1/_,_/4,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/12,1/_,_/_,_/_,_/_,_/_,_/_,_/4,1/_,_/_,_/_,_/4,1/_,_/4,1/_,_/_,_/5,1/_,_/_,_/_,_/5,1/_,_/5,1/_,_/_,_/_,_/_,_/4,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/5,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/5,1/_,_/_,_/_,_/5,1/_,_/5,1/_,_/_,_/4,1/_,_/_,_/_,_/4,1/_,_/4,1/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/"
"14","8","0,1/_,_/_,_/_,_/2,1/_,_/_,_/_,_/_,_/3,1/_,_/_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/0,1/_,_/_,_/2,1/_,_/_,_/_,_/_,_/2,1/_,_/_,_/_,_/2,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/12,1/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/6,1/_,_/_,_/_,_/_,_/4,1/_,_/_,_/_,_/_,_/4,1/_,_/_,_/_,_/4,1/_,_/4,1/_,_/_,_/_,_/3,1/_,_/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/0,1/_,_/_,_/7,1/_,_/_,_/_,_/6,1/_,_/12,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/5,1/_,_/_,_/_,_/4,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/2,1/_,_/_,_/4,1/2,1/_,_/_,_/_,_/_,_/_,_/0,1/_,_/0,1/_,_/_,_/_,_/_,_/_,_/5,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/4,1/_,_/_,_/_,_/4,1/_,_/_,_/_,_/_,_/_,_/4,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/0,1/_,_/_,_/_,_/3,1/_,_/_,_/_,_/_,_/2,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/7,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/7,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/"
"14","9","_,_/_,_/0,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/7,1/_,_/_,_/10,1/7,1/_,_/_,_/19,1/_,_/_,_/_,_/_,_/_,_/6,3/_,_/7,4/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","11,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/7,1/_,_/_,_/7,1/_,_/_,_/_,_/19,1/_,_/_,_/19,1/_,_/19,1/_,_/12,3/5,3/_,_/0,4/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/11,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/7,1/_,_/_,_/7,1/_,_/_,_/_,_/_,_/_,_/_,_/19,1/_,_/_,_/19,1/_,_/_,_/12,3/6,3/_,_/7,4/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/11,1/8,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/9,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/4,3/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/9,1/7,1/_,_/_,_/_,_/9,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/7,3/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/9,1/_,_/7,1/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/7,3/_,_/_,_/7,4/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/"
"1","0","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/0,4/_,_/0,4/0,4/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/1,4/3,4/1,4/0,4/1,4/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/0,4/4,4/2,4/0,4/2,4/0,4/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","2,4/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/5,4/_,_/_,_/3,4/2,4/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","3,4/2,4/3,4/2,4/0,4/3,4/0,4/2,4/_,_/_,_/_,_/_,_/_,_/3,4/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/3,4/5,4/3,4/1,4/3,4/1,4/3,4/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/"
"1","1","_,_/_,_/0,4/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","1,4/_,_/1,4/3,3/_,_/1,4/0,3/_,_/_,_/_,_/_,_/_,_/0,3/_,_/1,2/_,_/_,_/0,2/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","2,4/4,4/0,4/4,3/_,_/2,4/0,3/_,_/2,4/0,3/_,_/2,4/0,3/_,_/_,_/_,_/0,3/0,2/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","3,4/5,4/_,_/5,3/3,3/2,4/2,3/0,3/3,4/_,_/2,3/0,4/0,3/3,3/_,_/2,2/_,_/_,_/_,_/3,3/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/5,4/_,_/_,_/_,_/0,4/_,_/_,_/_,_/3,3/_,_/3,4/_,_/_,_/3,2/_,_/_,_/_,_/2,2/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/"
"1","2","_,_/_,_/0,3/3,2/_,_/5,3/_,_/1,2/_,_/_,_/0,2/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/0,3/3,2/_,_/3,2/5,2/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","1,2/_,_/_,_/0,2/_,_/3,3/_,_/_,_/_,_/1,3/_,_/_,_/1,3/_,_/_,_/_,_/1,3/1,2/_,_/1,2/0,2/_,_/1,2/0,2/1,2/_,_/_,_/_,_/0,3/_,_/1,2/_,_/_,_/_,_/5,2/3,2/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/2,3/_,_/0,2/_,_/_,_/2,2/_,_/_,_/0,2/_,_/_,_/_,_/_,_/_,_/2,3/0,2/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/0,2/_,_/_,_/_,_/_,_/_,_/2,3/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/2,2/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/2,2/_,_/_,_/3,2/_,_/_,_/_,_/0,2/_,_/_,_/_,_/_,_/_,_/_,_/2,2/_,_/0,2/3,3/_,_/_,_/2,2/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","0,2/_,_/_,_/_,_/_,_/_,_/_,_/_,_/3,2/_,_/3,2/_,_/_,_/_,_/_,_/3,2/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/0,2/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/","_,_/_,_/_,_/0,2/_,_/_,_/_,_/1,2/_,_/_,_/_,_/_,_/_,_/_,_/1,2/_,_/_,_/3,2/_,_/1,2/_,_/_,_/0,2/_,_/_,_/_,_/3,2/_,_/_,_/_,_/_,_/_,_/_,_/0,2/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/_,_/"
